x,y
-495754.613256,-1962096.51793
-495949.114211,-1962177.08287
-496143.615165,-1962257.6478
-496338.116119,-1962338.21273
-496532.617073,-1962418.77767
-496727.118027,-1962499.3426
-496921.618982,-1962579.90753
-497116.119936,-1962660.47247
-497116.119936,-1962660.47247
-497320.03761,-1962715.11204
-497523.955285,-1962769.75162
-497727.872959,-1962824.3912
-497931.790634,-1962879.03077
-498135.708308,-1962933.67035
-498339.625983,-1962988.30992
-498543.543657,-1963042.9495
-498747.461332,-1963097.58908
-498951.379006,-1963152.22865
-499155.29668,-1963206.86823
-499359.214355,-1963261.5078
-499563.132029,-1963316.14738
-499767.049704,-1963370.78696
-499970.967378,-1963425.42653
-500174.885053,-1963480.06611
-500378.802727,-1963534.70568
-500582.720402,-1963589.34526
-500786.638076,-1963643.98484
-500979.823241,-1963695.74865
-501174.324195,-1963776.31358
-501368.825149,-1963856.87851
-501563.326104,-1963937.44345
-501757.827058,-1964018.00838
-501952.328012,-1964098.57331
-502146.828966,-1964179.13825
-502341.32992,-1964259.70318
-502535.830875,-1964340.26811
-502730.331829,-1964420.83304
-502924.832783,-1964501.39798
-503119.333737,-1964581.96291
-503313.834691,-1964662.52784
-503508.335646,-1964743.09278
-503702.8366,-1964823.65771
-503897.337554,-1964904.22264
-504091.838508,-1964984.78758
-504286.339462,-1965065.35251
-504480.840417,-1965145.91744
-504675.341371,-1965226.48238
-504675.341371,-1965226.48238
-504870.382606,-1965307.2711
-505065.42384,-1965388.05982
-505260.465075,-1965468.84855
-505455.50631,-1965549.63727
-505650.547544,-1965630.426
-505845.588779,-1965711.21472
-506040.630014,-1965792.00345
-506235.671248,-1965872.79217
-506430.712483,-1965953.5809
